joko Joko Widodo
suaidi Suaidi Marassabessy
marassabessy Suaidi Marassabessy
kristianto Hasto Kristianto
rustriningsih Rustriningsih
harry Harry Sarundajang
sarundajang Harry Sarundajang
isran Isran Noor
noor Isran Noor
marzuki Marzuki
alie Marzuki Alie
rusdi Rusdi Kirana
kirana Rusdi Kirana
rustri Rustri
ganjar Ganjar Pranowo
pranowo Ganjar Pranowo
, Partai Demokrat,
vera Vera Febyanthy
febyanthy Vera Febyanthy
amanat Partai Amanat Nasional (PAN)
pan Partai Amanat Nasional (PAN)
teguh Teguh
juwarno Teguh Juwarno
gamawan Gamawan Fauzi
fauzi Gamawan Fauzi
deddy Deddy
mizwar Deddy Mizwar
heryawan Ahmad Heryawan
anas Anas Urbaningrum
urbaningrum Anas Urbaningrum
demorat Partai Demorat
widodo-jusuf Joko Widodo-Jusuf Kalla
jk JK
jokowi-jk Jokowi-JK
tantowi Tantowi
yahya Tantowi Yahya
soeharto Soeharto
akbar Akbar
faisal Akbar Faisal
ar AR
amir Amir
aburizal Aburizal Bakrie
bakrie Aburizal Bakrie
freddy Freddy
latumahina Freddy Latumahina
artai artai Persatuan Pembangunan
syamsudin Amir Syamsudin
e E.

. Johan Budi S.

mangindaan Mangindaan
roy Roy Suryo
suryo Roy Suryo
jero Jero Wacik
wacik Jero Wacik
syarief Syarief Hasan
hasan Syarief Hasan
gerindra Partai Gerindra
edy Tedjo Edy Purdijatno
hasrul Hasrul Azwar
azwar Hasrul Azwar
sri Sri Mulyani
sultan Pak Sultan
hamengku Sri Sultan Hamengku Buwono X
buwono Sri Sultan Hamengku Buwono X
x Sri Sultan Hamengku Buwono X
mendagri Mendagri
zaenal Zaenal
bintang Partai berlambang Bintang Mercy
ical Ical
yorrys Yorrys
raweyai Yorrys Raweyai
priyo Priyo
santoso Priyo Budi Santoso
presiden Presiden SBY
haryono Haryono Umar
umar Haryono Umar
riyanto Bibit Samad Riyanto
jasin M Jasin
harifin Harifin A Tumpa
a Harifin A Tumpa
tumpa Harifin A Tumpa
ambang ambang Hendarso Danuri
hendarso ambang Hendarso Danuri
danuri ambang Hendarso Danuri
anwar Anwar Nasution
nasution Anwar Nasution
didi Didi Widayadi
widayadi Didi Widayadi
as Widodo AS
andi Andi Matalata
matalata Andi Matalata
hatta Hatta Rajasa
rajasa Hatta Rajasa
sudi Sudi Silalahi
silalahi Sudi Silalahi
subianto Prabowo Subianto
hasyim Hasyim
djojohadikusumo Hasyim Djojohadikusumo
mulyani Sri Mulyani
bu Bu Sri Mulyani
widjojanto Bambang Widjojanto
pong Pong
hardjatmo Pong Hardjatmo
agung Agung
laksono Agung Laksono
dharma Surya Dharma Ali
sda Surya Dharma Ali (SDA)
lukman Lukman
hakim Lukman Hakim Syaifuddin
syaifuddin Lukman Hakim Syaifuddin
maruarar Maruarar
siahaan Maruarar Siahaan
mahkamah Mahkamah Konstitusi
konstitusi Mahkamah Konstitusi
romahurmuziy M Romahurmuziy
romy Romy
dan Keadilan dan Persatuan Indonesia (PKPI)
pkpi Keadilan dan Persatuan Indonesia (PKPI)
sutiyoso Sutiyoso
universitas Universitas Indonesia
arbi Arbi
sanit Arbi Sanit
puan Puan Maharani
maharani Puan Maharani
martin Martin
hutabarat Martin Hutabarat
yenny Yenny Wahid
wahid Yenny Wahid
berlambang Partai berlambang Bintang Mercy
mercy Partai berlambang Bintang Mercy
jafar Jafar
hafsah Jafar Hafsah
nazaruddin Muhammad Nazaruddin
sutan Sutan Bhatoegana
bhatoegana Sutan Bhatoegana
wafid Wafid Muharram
muharram Wafid Muharram
mahfud Mahfud MD
md Mahfud MD
janedjri Janedjri Gaffar
gaffar Janedjri Gaffar
p P
koalisi Koalisi Masyarakat Sipil Anti Korupsi (Kompak)
masyarakat Koalisi Masyarakat Sipil Anti Korupsi (Kompak)
sipil Koalisi Masyarakat Sipil Anti Korupsi (Kompak)
anti Koalisi Masyarakat Sipil Anti Korupsi (Kompak)
kompak Koalisi Masyarakat Sipil Anti Korupsi (Kompak)
siddiq Mahfudz Siddiq
dipo Dipo
alam Dipo Alam 
romo Romo Frans Magnis Suseno
frans Romo Frans Magnis Suseno
magniz Romo Frans Magniz Suseno
suseno Romo Frans Magnis Suseno
magnis Romo Frans Magnis Suseno
leonardy Leonardy
harmainy Leonardy Harmainy
tandjung Akbar Tandjung
ruhut Ruhut
sitompul Ruhut Sitompul
mengatakan mengatakan
